match_id,date,competition,season,team,opponent,is_home,goals_for,goals_against,result,possession_pct,field_tilt_pct,avg_possession_length,direct_speed,progressive_passes,progressive_carries,final_third_entries,box_entries,runs_behind_proxy,fast_attack_count,shots,shots_on_target,xg_for,xg_against,pressures,high_regains,ppda_proxy,turnovers_own_third,turnovers_middle_third,defensive_block_height,compactness,width_in_possession,depth_in_possession,set_piece_xg_for,set_piece_xg_against,data_quality_flag
9001,2026-01-01,Synthetic Cup,Synthetic 2026,Red FC,Blue FC,True,2,1,W,62,64,18,7.8,9,5,12,6,4,3,14,6,1.8,0.8,28,5,5.2,1,3,68,,,,0.22,0.05,event_only
9001,2026-01-01,Synthetic Cup,Synthetic 2026,Blue FC,Red FC,False,1,2,L,38,36,10,4.0,3,2,4,2,1,1,7,3,0.8,1.8,10,1,12.0,2,5,42,,,,0.05,0.22,event_only
9002,2026-01-08,Synthetic Cup,Synthetic 2026,Red FC,Blue FC,False,1,1,D,60,61,17,7.0,8,4,10,5,3,2,12,4,1.4,0.9,24,4,5.8,1,4,66,,,,0.12,0.08,event_only
9002,2026-01-08,Synthetic Cup,Synthetic 2026,Blue FC,Red FC,True,1,1,D,40,39,11,4.2,4,2,5,2,1,1,8,3,0.9,1.4,12,1,10.5,1,4,43,,,,0.08,0.12,event_only
9003,2026-01-15,Synthetic Cup,Synthetic 2026,Red FC,Blue FC,True,3,1,W,65,68,19,8.1,11,6,14,7,5,4,16,7,2.1,0.7,30,6,4.9,0,3,70,,,,0.30,0.04,event_only
9003,2026-01-15,Synthetic Cup,Synthetic 2026,Blue FC,Red FC,False,1,3,L,35,32,9,4.4,4,1,4,1,1,1,6,2,0.7,2.1,9,1,13.0,3,5,41,,,,0.04,0.30,event_only
9004,2026-01-22,Synthetic Cup,Synthetic 2026,Red FC,Blue FC,False,2,0,W,61,63,18,7.5,10,5,11,5,4,3,13,5,1.6,0.6,26,5,5.0,1,3,67,,,,0.18,0.04,event_only
9004,2026-01-22,Synthetic Cup,Synthetic 2026,Blue FC,Red FC,True,0,2,L,39,37,10,3.8,3,1,3,1,1,0,5,1,0.6,1.6,11,1,12.2,2,6,40,,,,0.04,0.18,event_only
9005,2026-01-29,Synthetic Cup,Synthetic 2026,Red FC,Blue FC,True,2,2,D,59,60,16,7.2,8,5,10,4,3,2,11,5,1.3,1.1,25,4,5.5,1,4,65,,,,0.10,0.10,event_only
9005,2026-01-29,Synthetic Cup,Synthetic 2026,Blue FC,Red FC,False,2,2,D,41,40,12,4.5,5,2,5,2,1,1,9,4,1.1,1.3,13,1,10.0,1,4,44,,,,0.10,0.10,event_only
9006,2026-02-05,Synthetic Cup,Synthetic 2026,Red FC,Blue FC,False,2,1,W,63,66,18,7.9,10,6,13,6,4,3,15,6,1.9,0.9,29,5,5.1,1,3,69,,,,0.25,0.07,event_only
9006,2026-02-05,Synthetic Cup,Synthetic 2026,Blue FC,Red FC,True,1,2,L,37,34,10,4.1,3,2,4,1,1,1,7,2,0.9,1.9,10,1,12.8,2,5,42,,,,0.07,0.25,event_only
